LEVEL1,LEVEL2,LEVEL3,TOOLTIP,SOURCE,SOURCE URL,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,LEVEL
Two,,Fourteen Total,,,,0,0,0,0,0,6291168.41,7123547.88,7368558.89,452336.2,0,0,2
Two,Nineteen,One,,,,0,0,0,0,0,9385009.05,9302956.92,6468016.28,3352787.17,0,0,3
Two,,Nineteen Total,,,,0,0,0,0,0,9385009.05,9302956.92,6468016.28,3352787.17,0,0,2
Two Total,,,,,,0,0,0,0,0,396579065.2,336362119.1,315491003.9,224722885.8,0,0,1
Three,One,Three,,,,0,0,0,0,0,0,1544558.48,3741361,4269210,0,0,3
Three,,Five,,,,0,0,0,0,0,0,0,9902661.34,0,0,0,3
Three,,Eleven,,,,0,0,0,0,0,0,0,0,4050000,0,0,3
Three,,One Total,,,,0,0,0,0,0,0,1544558.48,13644022.34,8319210,0,0,2
Three,Ten,Two,,,,0,0,0,0,0,0,0,0,0,0,0,3
Three,,Ten Total,,,,0,0,0,0,0,0,0,0,0,0,0,2
Three,Twelve,Seven,,,,0,0,0,0,0,0,0,25000,0,0,0,3
Three,,Twelve Total,,,,0,0,0,0,0,0,0,25000,0,0,0,2
Three,Nineteen,One,,,,0,0,0,0,0,0,0,0,0,0,0,3
Three,,Nineteen Total,,,,0,0,0,0,0,0,0,0,0,0,0,2
Three Total,,,,,,0,0,0,0,0,0,1544558.48,13669022.34,8319210,0,0,1
Four,Fifty,Two,,,,0,0,0,0,0,16943249,17709135,12265602,9984572.58,0,0,3
Four,,Fifty Total,,,,0,0,0,0,0,16943249,17709135,12265602,9984572.58,0,0,2
Four Total,,,,,,0,0,0,0,0,16943249,17709135,12265602,9984572.58,0,0,1
Five,Sixty,One,,,,0,0,0,0,0,207300000,200000000,200000000,250000000,0,0,3
Five,,Sixty Total,,,,0,0,0,0,0,207300000,200000000,200000000,250000000,0,0,2
Five Total,,,,,,0,0,0,0,0,207300000,200000000,200000000,250000000,0,0,1
Seven,NinetyNine,One,,,,0,0,0,0,0,89730000,89000000,493950000,496100000,0,0,3
Seven,,NinetyNine Total,,,,0,0,0,0,0,89730000,89000000,493950000,496100000,0,0,2
Seven Total,,,,,,0,0,0,0,0,89730000,89000000,493950000,496100000,0,0,1
APPROPRIATIONS TOTAL,,,,,,0,0,0,0,0,1328242490,1250951543,1647167847,1585272958,0,0,0
