LEVEL1,LEVEL2,LEVEL3,TOOLTIP,SOURCE,SOURCE URL,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,LEVEL
Capital Revenue,,FiveHundred Total,,,,0,0,0,0,0,11548436.27,10362759.72,7826536.51,0,0,0,2
Capital Revenue Total,,,,,,0,0,0,0,0,72068009.09,30828141.16,63532378.04,0,0,0,1
Sale of Shares & Credit Collections,OneHundred,One,,,,0,0,0,0,0,0,4021233.2,38906.07,0,0,0,3
Sale of Shares & Credit Collections,,Two,,,,0,0,0,0,0,0,0,5474766,0,0,0,3
Sale of Shares & Credit Collections,,OneHundredOne,,,,0,0,0,0,0,1935900,0,0,0,0,0,3
Sale of Shares & Credit Collections,,OneHundred Total,,,,0,0,0,0,0,1935900,4021233.2,5513672.07,0,0,0,2
Sale of Shares & Credit Collections,ThreeHundred,Two,,,,0,0,0,0,0,0,0,38000,0,0,0,3
Sale of Shares & Credit Collections,,ThreeHundredThree,,,,0,0,0,0,0,0,0,0,0,0,0,3
Sale of Shares & Credit Collections,,ThreeHundred Total,,,,0,0,0,0,0,0,0,38000,0,0,0,2
Sale of Shares & Credit Collections,FourHundred,Three,,,,0,0,0,0,0,0,1424093.08,0,0,0,0,3
Sale of Shares & Credit Collections,,Seven,,,,0,0,0,0,0,0,0,3586576.33,0,0,0,3
Sale of Shares & Credit Collections,,FourHundred Total,,,,0,0,0,0,0,0,1424093.08,3586576.33,0,0,0,2
Sale of Shares & Credit Collections Total,,,,,,0,0,0,0,0,1935900,5445326.28,9138248.4,0,0,0,1
Loans Ignition,ThreeHundred,One,,,,0,0,0,0,0,0,0,0,0,0,0,3
Loans Ignition,,ThreeHundredOne,,,,0,0,0,0,0,0,0,0,0,0,0,3
Loans Ignition,,ThreeHundred Total,,,,0,0,0,0,0,0,0,0,0,0,0,2
Loans Ignition Total,,,,,,0,0,0,0,0,0,0,0,0,0,0,1
Seven,OneHundred,Zero,,,,0,0,0,0,0,133953378.5,0,0,0,0,0,3
Seven,,One,,,,0,0,0,0,0,0,142964424.1,299736526.1,0,0,0,3
Seven,,OneHundred Total,,,,0,0,0,0,0,133953378.5,142964424.1,299736526.1,0,0,0,2
Seven Total,,,,,,0,0,0,0,0,133953378.5,142964424.1,299736526.1,0,0,0,1
Nine,OneHundred,One,,,,0,0,0,0,0,0,0,17044312.69,0,0,0,3
Nine,,Two,,,,0,0,0,0,0,0,30966428.43,26025376.69,0,0,0,3
Nine,,Three,,,,0,0,0,0,0,0,613471.08,565827.87,0,0,0,3
Nine,,NinetyNine,,,,0,0,0,0,0,0,392609.72,165471664.6,0,0,0,3
Nine,,OneHundredTwo,,,,0,0,0,0,0,33507642.94,0,0,0,0,0,3
Nine,,OneHundredThree,,,,0,0,0,0,0,712307.32,0,0,0,0,0,3
Nine,,OneHundredNinetyNine,,,,0,0,0,0,0,435352.18,0,0,0,0,0,3
Nine,,OneHundred Total,,,,0,0,0,0,0,34655302.44,31972509.23,209107181.9,0,0,0,2
Nine,TwoHundred,Four,,,,0,0,0,0,0,0,504843.54,989841.02,0,0,0,3
Nine,,Five,,,,0,0,0,0,0,0,5135723.35,5338669.41,0,0,0,3
Nine,,NinetyNine,,,,0,0,0,0,0,0,21219126.44,21299337.28,0,0,0,3
Nine,,TwoHundredFour,,,,0,0,0,0,0,401141.23,0,0,0,0,0,3
Nine,,TwoHundredFive,,,,0,0,0,0,0,447270.22,0,0,0,0,0,3
Nine,,TwoHundredNinetyNine,,,,0,0,0,0,0,7959653.52,0,0,0,0,0,3
Nine,,TwoHundred Total,,,,0,0,0,0,0,8808064.97,26859693.33,27627847.71,0,0,0,2
Nine Total,,,,,,0,0,0,0,0,43463367.41,58832202.56,236735029.6,0,0,0,1
APPROPRIATION TOTAL,,,,,,0,0,0,0,0,872466178.3,822935389.5,1220846402,0,0,0,0
