LEVEL1,LEVEL2,LEVEL3,TOOLTIP,SOURCE,SOURCE URL,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,LEVEL
Purchase of Shares & Credit Concessions,,Nineteen Total,,,,0,0,0,0,0,0,0,50000,0,0,0,2
Purchase of Shares & Credit Concessions Total,,,,,,0,0,0,0,0,0,1424093.08,35665848.35,0,0,0,1
Loan Replacements,Fifty,Two,,,,0,0,0,0,0,16939995.91,17709132.33,11658340.71,0,0,0,3
Loan Replacements,,Fifty Total,,,,0,0,0,0,0,16939995.91,17709132.33,11658340.71,0,0,0,2
Loan Replacements Total,,,,,,0,0,0,0,0,16939995.91,17709132.33,11658340.71,0,0,0,1
Spending on Closing of Advances Treasurer/Cashier,Sixty,One,,,,0,0,0,0,0,133953378.5,142964424.1,299736526.1,0,0,0,3
Spending on Closing of Advances Treasurer/Cashier,,Sixty Total,,,,0,0,0,0,0,133953378.5,142964424.1,299736526.1,0,0,0,2
Spending on Closing of Advances Treasurer/Cashier Total,,,,,,0,0,0,0,0,133953378.5,142964424.1,299736526.1,0,0,0,1
Spending on Third Party Services,NinetyNine,One,,,,0,0,0,0,0,43463367.41,58832202.56,236735029.6,0,0,0,3
Spending on Third Party Services,,NinetyNine Total,,,,0,0,0,0,0,43463367.41,58832202.56,236735029.6,0,0,0,2
Spending on Third Party Services Total,,,,,,0,0,0,0,0,43463367.41,58832202.56,236735029.6,0,0,0,1
Zero,Zero,Zero,,,,0,0,0,0,0,0,0,0,0,0,0,3
Zero,,Zero Total,,,,0,0,0,0,0,0,0,0,0,0,0,2
Zero Total,,,,,,0,0,0,0,0,0,0,0,0,0,0,1
APPROPRIATIONS TOTAL,,,,,,0,0,0,0,0,936082010.2,852074241.2,1241014188,0,0,0,0
